Janitor 40 Male Married $44089
$86900 Female Chemist Widowed 53
26 $82234 Widowed Teacher Female
28 Mechanic Married Female $51404
Male 43 $344809 Married Surgeon
Male Retiree Married $4483 67
15 $917 Male Single Student
78 Male $9075 Retiree Married
Male $300 9 Single Student
Retiree Female $4837 100 Married
Retiree Male 86 Married $7305
Female $7663 87 Retiree Widowed
Single $0 Male Unemployed 2
Surgeon Single $268556 43 Male
Married 81 Businessman Male $48239
Male Plumber 43 $12109 Married
49 Married Male Actor $132522
89 Female Married $11193 Retiree
Male 62 Married Salesman $118642
61 Married Female $224089 Doctor
17 Student Female Single $4146
Single Male Surgeon 55 $138666
57 Male Single Lawyer $230975
Professor 50 Male $112827 Married
64 Pilot Married Male $195518
Retiree Male Single 78 $6845
53 Architect $189920 Married Female
Single Student $500 10 Male
Female Single Businessman 80 $320900
$8308 Female 69 Retiree Married
42 Dentist Female Married $75600
Author Single Male 39 $129024
Male Married 35 $156392 Pilot
Widowed Male Retiree $10251 100
78 Retiree Married Male $7523
Single Retiree Male 70 $6257
Married Male $39315 Mechanic 31
Dentist $77156 62 Married Female
$5346 20 Single Student Female
100 Male Married Retiree $5737
Designer Married Male $145595 50
17 Male Single $0 Student
Single Unemployed Female 2 $0
62 Married Pilot $147926 Female
Married 30 $46378 Male Soldier
$376174 Businessman Widowed Male 97
$8193 Retiree 99 Married Female
Female $10468 Retiree 66 Married
13 Male Single Student $0
$5581 Single 91 Retiree Male
Female Widowed $7673 Retiree 70
Professor Single 42 $171061 Male
$91039 Other Model 27 Single
Male $3390 Student 18 Single
$419870 Actor Married Male 46
Male $10028 Retiree Single 87
Married Female 48 $427564 Businessman
$11951 70 Married Male Retiree
23 $8667 Driver Single Male
Retiree 92 Married $6319 Male
37 Married $119017 Male Veterinarian
46 Female Designer Married $45760
$104503 43 Firefighter Divorced Male
Salesman Single Female $43259 39
Clerk 23 Single $6380 Female
67 Retiree Married Female $5691
Divorced $11195 90 Retiree Female
79 Single $7553 Male Retiree
Male 84 $10177 Retiree Divorced
Male 99 Widowed $8658 Retiree
Retiree Married 66 Female $5142
Male Retiree Married $10495 70
Secretary 55 Married Male $66545
Female $9271 Married Retiree 86
$5350 Single 82 Male Retiree
20 $0 Male Single Student
